City,Country,Remote Jobs,Unemployment,Covid Impact,Healthcare,"Happiness, Culture & Leisure",Air Quality,Wellness and Fitness,TOTAL SCORE
Oslo,Norway,41.72%,94.7,88.2,100,88.8,97.5,65.7,100
Bern,Switzerland,44.86%,99.8,82.2,99.6,100,100,69.1,99.46
Helsinki,Finland,38.92%,89.3,85,96.7,96.3,97,68.3,99.24
Zurich,Switzerland,44.86%,99.2,82,99.2,91.5,96.2,68.7,96.33
Copenhagen,Denmark,41.42%,94.8,84.5,94.8,92.5,95.1,66.3,96.21
Geneva,Switzerland,44.86%,95.2,79.2,99.1,100,96.8,67.7,95.82
Ottawa,Canada,37.81%,95.8,78.5,96.7,81.4,99.2,68.7,95.51
Sydney,Australia,38.79%,95.9,79.5,99,87.7,98,70.5,94.04
Stuttgart,Germany,36.73%,95.2,74,93.8,85.5,95.8,67,93.79
Munich,Germany,36.73%,95.6,74.6,95.4,87,95.8,67.6,93.65
Stockholm,Sweden,44.20%,91,76,96,88.1,94.6,68.5,93.31
Melbourne,Australia,38.79%,94.5,78.7,98.3,95.4,97.8,74.7,92.76
Amsterdam,Netherlands,41.55%,95.4,76.4,95.6,86.3,94.4,67.7,92.62
Tokyo,Japan,36.52%,96.2,91.6,99.3,73.6,90.8,77.5,92.47
Leipzig,Germany,36.73%,93.5,74.5,94.8,85.5,96.5,68,92.45
Vancouver,Canada,37.81%,93.5,77,96.8,79.6,99.7,64.1,92.23
Auckland,New Zealand,36.25%,96.2,87,92.3,84.5,97.8,65.1,92.09
Hamburg,Germany,36.73%,90.6,73.1,94.9,79.9,95.8,77.8,91.79
Toronto,Canada,37.81%,90.4,75.3,97.2,90.1,97.2,65.6,91.12
Frankfurt,Germany,36.73%,92.3,73.1,94.7,85.5,95.6,66.9,91.06
Dusseldorf,Germany,36.73%,90.1,72.1,94.8,85.5,96.2,65.3,90.92
Berlin,Germany,36.73%,86.3,70.2,92.9,93.8,94.6,86.7,90.83
Bremen,Germany,36.73%,85.1,69.4,94.8,85.5,97.6,70.3,90.73
Liverpool,UK,43.50%,94,75.6,98,82.7,98.5,62.7,90.68
Glasgow,UK,43.50%,94.5,75.5,94.8,82.7,98.1,64.1,90.68
Cologne,Germany,36.73%,86.8,70,94.2,85.5,95.4,68.3,90.1
London,UK,43.50%,93.2,73.5,94.6,89.5,95,78.2,89.74
Paris,France,37.74%,88,68.3,95.9,84.9,93.1,100,89.73
Graz,Austria,36.69%,88.4,70.8,93.4,89.4,96.1,65.9,89.4
Calgary,Canada,37.81%,88.7,75.7,97,78.7,99.4,65.9,89.38
Manchester,UK,43.50%,94,75.1,95.5,82.7,97.4,63.3,89.1
Seattle,USA,42.28%,94.8,85.6,89.9,90.7,99.2,64.5,88.38
Portland,USA,38.49%,94.8,84.6,89.3,86.4,99.8,63.9,88.2
Vienna,Austria,36.69%,81.3,68.4,93.8,83.7,94.5,73.9,88.17
Minneapolis,USA,41.14%,97.2,85,91.6,88,96.7,63.1,88.09
Salt Lake City,USA,43.34%,98.2,90.6,88,84.4,97.1,64.9,87.83
Dublin,Ireland,38.71%,92.6,78.7,86.6,89.9,97.7,67,87.64
Boston,USA,44.35%,95,78.9,90.7,86.3,96.4,65,87.57
San Francisco,USA,44.76%,95.9,83.3,86.5,93.1,97.8,62.5,87.34
Brussels,Belgium,42.34%,87.8,70,94.4,77.3,94.1,68.4,87.18
Washington,USA,49.77%,95.4,81.3,86.6,88.2,97.2,65.5,87.1
Madrid,Spain,31.69%,82.6,70.1,97.9,81.4,94.4,72.9,86.85
Omaha,USA,38.90%,97.3,87.1,89.5,82.9,97.3,59.8,86.01
San Diego,USA,39.52%,94.5,83,88.6,86.5,94.2,62.5,85.77
Singapore,Singapore,52.06%,98.2,87.9,93.6,77.6,90,72.9,85.66
Denver,USA,42.58%,95.6,84.1,88.1,83.3,95.8,65.7,85.63
Virginia Beach,USA,34.64%,95.8,85,87.9,82.4,97.1,60.2,85.3
Raleigh,USA,41.30%,96.7,85.2,88.7,85,95.4,61.4,85.29
Sacramento,USA,40.34%,93.9,77.5,88,83,98.3,62,84.94
Barcelona,Spain,31.69%,82.5,69.5,97,79.8,92.5,69.6,84.93
Lisbon,Portugal,33.16%,89.3,74.2,89.5,70.7,96.6,65.2,84.88
Des Moines,USA,42.66%,95.9,82.3,91.2,83.9,96.8,59.3,84.77
Honolulu,USA,35.43%,95.8,74,89.1,85,98,61.4,84.62
Budapest,Hungary,30.92%,97.5,74.8,68.5,64.7,92.7,62.5,84.56
Colorado Springs,USA,40.31%,95.3,81.1,85,82.5,96.9,66.2,84.56
Tampa,USA,39.94%,96.4,79.8,87.2,81.2,97.9,61.8,84.31
Kansas City,USA,39.48%,96.3,83.2,88.9,76.1,97.2,58.6,84.27
Charlotte,USA,37.87%,95.6,83.1,88.2,82.4,95.7,60.9,84.24
New York,USA,41.96%,93.3,66.3,85.5,91.5,96.5,64.8,84.23
Atlanta,USA,40.39%,96.2,84.6,86.1,82.9,95.6,59.9,84.06
Milwaukee,USA,36.48%,96.4,82.3,87.1,81.3,96.9,60.8,83.89
Austin,USA,45.51%,96.7,81.9,87.2,85.4,96.4,56.7,83.67
Milan,Italy,34.99%,91.4,63.3,94.2,70.4,91.5,78.3,83.66
Pittsburgh,USA,36.82%,92.7,80.2,89.5,83.9,95.5,60.5,83.63
Jacksonville,USA,36.61%,96.6,78,87.7,77.6,97,61.7,83.33
Nashville,USA,36.41%,97.4,80,84.4,79.6,95.9,58.2,83.25
Cincinnati,USA,36.20%,95.5,79.5,86.6,76.6,95.4,57.9,83.15
Columbus,USA,39.54%,95.3,81,88.3,77.8,95.6,58.8,83.05
Chicago,USA,39.18%,93.3,79.3,86.4,90.2,95.5,61.3,82.92
Miami,USA,36.70%,96.1,77.3,85.7,87,98,62.1,82.83
Baltimore,USA,41.55%,94.6,76.2,90,77.2,96.1,60.2,82.77
Philadelphia,USA,40.11%,93.3,78.6,87.7,83.8,95.6,60.9,82.31
Indianapolis,USA,35.96%,98.3,82.3,87.8,74.1,94.8,55.9,82.08
Tucson,USA,37.29%,95.5,77,84.2,78.3,97,61.7,81.85
Cleveland,USA,31.31%,94.8,80.8,90.4,70.7,95.5,57.4,81.81
Oklahoma City,USA,37.34%,97.5,82.8,87.5,75.6,95.7,55.3,81.75
Dallas,USA,39.69%,95.2,83.7,85.7,81.3,96.6,56.4,81.74
Los Angeles,USA,39.09%,92.6,75.1,85.6,89.7,93.4,63.3,81.62
Phoenix,USA,38.88%,96.3,77.6,86.4,77.8,95.9,61.8,81.46
San Antonio,USA,37.71%,95.2,79,87.2,77.4,97.3,57.1,81.46
Tulsa,USA,35.13%,96.9,82.5,85.7,73.8,95.9,55.2,81.4
Wichita,USA,33.54%,96.4,76.5,84.1,75.6,97.3,56.4,80.87
Louisville,USA,33.01%,95.2,76.4,84.4,75.1,95.4,57.6,80.78
Detroit,USA,35.07%,93.6,74.4,84.6,79.4,98.1,58.4,80.36
